iter	Logloss
0	0.6724142172
1	0.6558245655
2	0.6371440074
3	0.6184924464
4	0.6013507671
5	0.5857339144
6	0.5743118522
7	0.5590975375
8	0.5476121332
9	0.5358675932
10	0.5237386155
11	0.512295737
12	0.5001456526
13	0.4900192819
14	0.4808015031
15	0.4736330975
16	0.4680259991
17	0.4604102771
18	0.4536806319
19	0.4468067532
20	0.4423627638
21	0.4391689892
22	0.4330873478
23	0.4282625141
24	0.4235768803
25	0.4186866188
26	0.4165511687
27	0.4126768641
28	0.4082130217
29	0.4041835985
30	0.4008940495
31	0.3970188798
32	0.3937336274
33	0.3919783161
34	0.3883733453
35	0.38640224
36	0.3835603055
37	0.3814787283
38	0.3792243918
39	0.3773709029
40	0.3748043313
41	0.3724204954
42	0.3715897765
43	0.3690983522
44	0.3671216721
45	0.3653559917
46	0.3640352774
47	0.3630980061
48	0.36125477
49	0.3598617447
50	0.3583090852
51	0.3569472334
52	0.3561419584
53	0.3549746669
54	0.3545921508
55	0.353688883
56	0.3528815921
57	0.3520133621
58	0.351085468
59	0.3502659478
60	0.3493712258
61	0.3485478378
62	0.3476526394
63	0.3467224503
64	0.3460750276
65	0.3457443705
66	0.3450220259
67	0.3444936724
68	0.3440023878
69	0.3430914287
70	0.3425932488
71	0.3420381522
72	0.3411970837
73	0.3407603602
74	0.3402444554
75	0.3393964328
76	0.3389930014
77	0.3385667164
78	0.3381775767
79	0.3378231495
80	0.3375305568
81	0.3371387654
82	0.3368731425
83	0.3363802979
84	0.3360518297
85	0.3356550569
86	0.3352126152
87	0.3348131871
88	0.3345793457
89	0.3342208331
90	0.3339313559
91	0.3332495917
92	0.3330013335
93	0.3327431006
94	0.3323315254
95	0.3318958067
96	0.3315949648
97	0.3314745159
98	0.3311210221
99	0.3310915061
100	0.3309196981
101	0.3305496678
102	0.3300101844
103	0.3296812891
104	0.32929354
105	0.3290068763
106	0.3287313121
107	0.328591697
108	0.3282854224
109	0.3280829627
110	0.3277952876
111	0.3277065192
112	0.3273290905
113	0.3270936183
114	0.3266608758
115	0.3264901915
116	0.3262838459
117	0.3261846078
118	0.3258905533
119	0.3255765569
120	0.3254094122
121	0.325242859
122	0.3250318207
123	0.3249972203
124	0.3249621833
125	0.3249135857
126	0.3247067098
127	0.324544083
128	0.3243348627
129	0.3241710334
130	0.3238638066
131	0.3236572399
132	0.3234798331
133	0.3234390706
134	0.3229801812
135	0.3228854753
136	0.3227668925
137	0.3225774196
138	0.3224781447
139	0.3223025139
140	0.3221598825
141	0.3221446304
142	0.3220701898
143	0.3219984053
144	0.3218950335
145	0.3215706847
146	0.3215706838
147	0.3213885368
148	0.3213223366
149	0.3210688262
150	0.3207613263
151	0.3206834095
152	0.3206659288
153	0.3204289355
154	0.3202960843
155	0.3202566664
156	0.3201196862
157	0.32007004
158	0.3200644874
159	0.3200353422
160	0.3199501963
161	0.3198307355
162	0.3196520906
163	0.3196343672
164	0.3193835172
165	0.3193048185
166	0.3192923011
167	0.319082819
168	0.3190076068
169	0.3189949581
170	0.3189540072
171	0.3189126198
172	0.3187043133
173	0.3186475387
174	0.318521165
175	0.3184305442
176	0.3182427227
177	0.3182409789
178	0.3180943132
179	0.3179106439
180	0.3178683188
181	0.3177818808
182	0.3177352409
183	0.3176043322
184	0.3176042386
185	0.3175503864
186	0.3174397079
187	0.3174034129
188	0.3171856396
189	0.3170945959
190	0.3168940741
191	0.3167418289
192	0.3167369522
193	0.3166151554
194	0.3165949207
195	0.3165272479
196	0.3164293822
197	0.3164170086
198	0.3164082372
199	0.3163892699
200	0.3163754063
201	0.3163527128
202	0.3163444078
203	0.3163296331
204	0.3162344122
205	0.3161379644
206	0.3159541907
207	0.3156966686
208	0.3156194393
209	0.3155975697
210	0.315526081
211	0.3155144896
212	0.3154629998
213	0.3154629334
214	0.3153891194
215	0.3152040139
216	0.3150999356
217	0.3150928459
218	0.3150860934
219	0.3150491928
220	0.3148770831
221	0.3147163632
222	0.3146992279
223	0.3144905
224	0.3144162968
225	0.3144037206
226	0.3143734299
227	0.3143669933
228	0.3143056316
229	0.3142432476
230	0.3142020186
231	0.3141796176
232	0.3140953883
233	0.3140358992
234	0.3140152082
235	0.3140088087
236	0.3140028721
237	0.313997216
238	0.3138521961
239	0.3136701926
240	0.3135266819
241	0.3135131605
242	0.3133898896
243	0.3132837185
244	0.3132155346
245	0.3131625438
246	0.3129376951
247	0.3128596678
248	0.3128268993
249	0.3127660692
250	0.3126412812
251	0.3126094117
252	0.3125356302
253	0.3125238473
254	0.3123910329
255	0.3123644287
256	0.3123047246
257	0.3122321297
