iter	Passed	Remaining
0	3	1453
1	7	1408
2	10	1326
3	13	1320
4	16	1334
5	20	1360
6	22	1281
7	26	1312
8	30	1343
9	34	1356
10	38	1373
11	42	1367
12	45	1359
13	49	1354
14	54	1395
15	57	1380
16	61	1378
17	69	1474
18	74	1500
19	78	1488
20	81	1475
21	83	1435
22	87	1427
23	90	1416
24	93	1406
25	97	1397
26	98	1366
27	102	1358
28	105	1349
29	109	1347
30	112	1336
31	115	1329
32	118	1319
33	120	1299
34	123	1291
35	126	1283
36	129	1274
37	133	1268
38	137	1273
39	140	1268
40	144	1267
41	147	1260
42	150	1248
43	153	1242
44	156	1235
45	160	1238
46	164	1236
47	167	1229
48	171	1231
49	175	1229
50	178	1220
51	181	1214
52	184	1205
53	187	1202
54	189	1190
55	193	1187
56	196	1181
57	199	1174
58	203	1175
59	206	1168
60	209	1163
61	212	1160
62	216	1155
63	219	1153
64	223	1150
65	226	1145
66	229	1142
67	233	1137
68	237	1137
69	240	1134
70	244	1130
71	247	1125
72	250	1120
73	253	1117
74	256	1112
75	259	1107
76	263	1104
77	266	1100
78	270	1099
79	274	1097
80	277	1094
81	281	1091
82	284	1087
83	287	1082
84	291	1079
85	294	1076
86	297	1072
87	301	1067
88	304	1063
89	307	1059
90	310	1055
91	314	1053
92	317	1047
93	320	1042
94	323	1038
95	326	1034
96	329	1030
97	333	1026
98	336	1023
99	339	1018
100	342	1013
101	345	1009
102	349	1007
103	353	1005
104	356	1001
105	360	999
106	364	997
107	367	994
108	371	991
109	374	987
110	378	985
111	381	980
112	384	976
113	387	973
114	391	970
115	394	966
116	398	963
117	401	959
118	404	955
119	408	952
120	412	950
121	415	946
122	418	943
123	421	939
124	425	935
125	427	929
126	430	926
127	435	924
128	438	921
129	442	918
130	445	914
131	448	911
132	452	908
133	455	905
134	459	902
135	462	897
136	465	894
137	468	890
138	472	886
139	475	883
140	478	879
141	481	874
142	484	870
143	487	866
144	490	863
145	494	859
146	495	853
147	499	850
148	502	847
149	506	843
150	509	840
151	513	837
152	515	832
153	519	829
154	523	826
155	525	821
156	528	818
157	532	814
158	534	810
159	537	805
160	541	804
161	545	801
162	549	798
163	552	795
164	556	792
165	559	788
166	562	784
167	565	781
168	570	780
169	575	778
170	579	775
171	583	772
172	588	771
173	592	769
174	595	766
175	599	763
176	604	761
177	607	758
178	611	755
179	615	752
180	618	748
181	621	744
182	624	740
183	628	737
184	630	732
185	633	728
186	637	726
187	641	723
188	644	719
189	648	716
190	652	714
191	656	711
192	658	706
193	662	703
194	665	699
195	669	697
196	674	695
197	677	691
198	680	687
199	684	684
200	687	680
201	690	676
202	692	672
203	697	670
204	701	666
205	704	663
206	708	660
207	712	657
208	716	654
209	719	650
210	722	647
211	726	644
212	731	642
213	733	637
214	738	635
215	742	632
216	747	630
217	751	626
218	754	623
219	757	620
220	762	617
221	766	614
222	769	610
223	773	608
224	781	608
225	787	606
226	794	605
227	799	602
228	806	601
229	810	599
230	818	598
231	821	594
232	825	591
233	831	590
234	835	586
235	839	583
236	842	579
237	845	575
238	850	572
239	853	569
240	857	565
241	861	562
242	864	558
243	868	555
244	872	551
245	876	548
246	880	545
247	884	541
248	889	539
249	896	537
250	901	535
251	909	534
252	917	533
253	921	529
254	925	526
255	929	522
256	933	519
257	937	516
